City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,81.05,light rain,3.0707,172.7902,Isles Sunset Lodge
5,Kapaa,US,81.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Machilipatnam,IN,84.2,clear sky,16.1667,81.1333,R&B Bungalow
16,Lorengau,PG,83.21,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
18,Aksu,CN,72.21,clear sky,41.1231,80.2644,Pudong Holiday Hotel
20,Beberibe,BR,76.66,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
23,Shirgaon,IN,83.61,scattered clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
24,Biltine,TD,82.76,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
31,Atuona,PF,78.51,scattered clouds,-9.8,-139.0333,Villa Enata
33,Kalmunai,LK,77.74,overcast clouds,7.4167,81.8167,VS Villa
36,Rikitea,PF,76.73,few clouds,-23.1203,-134.9692,People ThankYou
43,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,La Orilla,MX,82.99,few clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
51,Mitsamiouli,KM,78.06,scattered clouds,-11.3847,43.2844,Foyer ADM
53,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
57,Bengkulu,ID,74.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
66,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
67,Hithadhoo,MV,82.98,scattered clouds,-0.6,73.0833,Scoop Guest House
69,Marsh Harbour,BS,79.65,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
70,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
71,Palmer,US,72.95,overcast clouds,42.1584,-72.3287,Wedgewood Motel
81,Pundaguitan,PH,81.7,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
83,Kavieng,PG,83.14,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
84,Mabaruma,GY,73.09,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
87,Rodeo,US,77.18,few clouds,38.033,-122.2669,Captain's Cottage
89,Kavaratti,IN,82.15,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
91,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
103,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
109,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
110,Varca,IN,82.4,scattered clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa Benaulim"
111,Akyab,MM,82.08,overcast clouds,20.15,92.9,Hotel Memory
113,Morgan City,US,87.8,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
118,Scottsbluff,US,86.23,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
124,Havelock,US,75.94,broken clouds,34.8791,-76.9013,Sherwood Motel
126,Ndjole,GA,72.79,broken clouds,-0.1783,10.7649,Motel Kédyann
129,Tecoanapa,MX,83.28,overcast clouds,16.5167,-98.75,Hotel Manglares
131,Zhangjiakou,CN,73.67,few clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
133,Sao Felix Do Xingu,BR,73.65,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
134,Celestun,MX,80.92,overcast clouds,20.8667,-90.4,Posada Lilia
137,Kirakira,SB,79.38,overcast clouds,-10.4544,161.9205,SanBiz Lodge
138,Salinas,US,73.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
139,Sur,OM,85.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
140,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
141,Sao Filipe,CV,72.48,few clouds,14.8961,-24.4956,Hotel Xaguate
143,Bandarbeyla,SO,81.28,broken clouds,9.4942,50.8122,JABIR HOTEL
144,Saint Anthony,US,76.89,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
146,Campo Maior,BR,77.07,broken clouds,-4.8278,-42.1686,Elite Hotel
147,Kenai,US,73.45,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
150,Mound,US,77.31,scattered clouds,44.9366,-93.6661,Sojourn Suites
151,Axim,GH,78.71,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
154,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
155,Vao,NC,73.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
156,Twante,MM,78.93,overcast clouds,16.7167,95.9333,Dream Land
157,Gondanglegi,ID,76.96,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
