City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Provideniya,RU,2022-05-27 23:23:59,64.3833,-173.3,43.52,72,62,8.43,broken clouds
1,Busselton,AU,2022-05-27 23:22:50,-33.65,115.3333,53.87,75,46,6.15,scattered clouds
2,Carnarvon,AU,2022-05-27 23:32:13,-24.8667,113.6333,70.77,70,100,7.0,overcast clouds
3,Butaritari,KI,2022-05-27 23:23:56,3.0707,172.7902,81.05,75,66,7.52,light rain
4,Dehui,CN,2022-05-27 23:32:13,44.5333,125.7,68.45,49,94,8.41,overcast clouds
5,Kapaa,US,2022-05-27 23:23:55,22.0752,-159.319,81.12,65,100,10.36,overcast clouds
6,Moose Factory,CA,2022-05-27 23:32:13,51.2585,-80.6094,62.6,39,0,10.36,clear sky
7,Baruun-Urt,MN,2022-05-27 23:32:14,46.6806,113.2792,51.89,26,86,6.02,overcast clouds
8,Khatanga,RU,2022-05-27 23:22:42,71.9667,102.5,33.12,75,98,3.06,overcast clouds
9,Manitouwadge,CA,2022-05-27 23:32:14,49.1215,-85.8403,57.06,70,92,2.77,overcast clouds
10,Puerto Ayora,EC,2022-05-27 23:25:08,-0.7393,-90.3518,73.54,87,52,4.0,broken clouds
11,Shubarkuduk,KZ,2022-05-27 23:32:14,49.1447,56.4872,57.16,72,78,9.44,broken clouds
12,Hobart,AU,2022-05-27 23:20:32,-42.8794,147.3294,44.26,88,0,11.5,clear sky
13,Machilipatnam,IN,2022-05-27 23:32:15,16.1667,81.1333,84.2,79,6,10.07,clear sky
14,Saint-Philippe,RE,2022-05-27 23:29:06,-21.3585,55.7679,67.59,82,11,8.1,light rain
15,Aberdeen,GB,2022-05-27 23:27:44,57.1437,-2.0981,48.69,90,75,10.36,light rain
16,Lorengau,PG,2022-05-27 23:32:15,-2.0226,147.2712,83.21,62,99,4.41,overcast clouds
17,Husavik,IS,2022-05-27 23:32:16,66.0449,-17.3389,38.52,82,27,5.77,scattered clouds
18,Aksu,CN,2022-05-27 23:32:16,41.1231,80.2644,72.21,24,0,1.59,clear sky
19,Chokurdakh,RU,2022-05-27 23:22:44,70.6333,147.9167,33.15,73,100,10.36,overcast clouds
20,Beberibe,BR,2022-05-27 23:32:16,-4.1797,-38.1306,76.66,86,74,9.66,broken clouds
21,Kouango,CF,2022-05-27 23:32:17,4.9934,19.9619,71.44,90,11,2.3,moderate rain
22,Grand Gaube,MU,2022-05-27 23:32:17,-20.0064,57.6608,70.2,78,0,8.05,clear sky
23,Shirgaon,IN,2022-05-27 23:32:17,19.7,72.7,83.61,67,25,14.36,scattered clouds
24,Biltine,TD,2022-05-27 23:32:18,14.5333,20.9167,82.76,8,1,8.12,clear sky
25,Tiksi,RU,2022-05-27 23:22:50,71.6872,128.8694,30.36,88,100,5.73,overcast clouds
26,Bend,US,2022-05-27 23:32:03,44.0582,-121.3153,53.49,77,75,8.05,broken clouds
27,Bredasdorp,ZA,2022-05-27 23:24:02,-34.5322,20.0403,54.41,94,26,3.11,scattered clouds
28,Upernavik,GL,2022-05-27 23:22:49,72.7868,-56.1549,27.23,95,100,4.27,light snow
29,Nikolskoye,RU,2022-05-27 23:32:18,59.7035,30.7861,49.91,97,90,2.24,overcast clouds
30,Bluff,NZ,2022-05-27 23:22:48,-46.6,168.3333,51.8,80,97,9.82,overcast clouds
31,Atuona,PF,2022-05-27 23:29:05,-9.8,-139.0333,78.51,75,34,19.82,scattered clouds
32,Astolfo Dutra,BR,2022-05-27 23:32:18,-21.3153,-42.8622,65.66,82,87,1.77,overcast clouds
33,Kalmunai,LK,2022-05-27 23:32:19,7.4167,81.8167,77.74,84,96,5.77,overcast clouds
34,Dawson Creek,CA,2022-05-27 23:32:19,55.7666,-120.2362,53.24,76,75,5.75,broken clouds
35,Ushuaia,AR,2022-05-27 23:18:44,-54.8,-68.3,35.26,87,100,21.85,light snow
36,Rikitea,PF,2022-05-27 23:22:51,-23.1203,-134.9692,76.73,74,12,12.66,few clouds
37,Chuy,UY,2022-05-27 23:32:19,-33.6971,-53.4616,56.34,88,100,7.81,overcast clouds
38,Mount Isa,AU,2022-05-27 23:31:07,-20.7333,139.5,64.17,42,4,8.05,clear sky
39,Dordrecht,NL,2022-05-27 23:32:20,51.81,4.6736,57.96,77,73,3.0,broken clouds
40,Sobolevo,RU,2022-05-27 23:32:20,54.4299,31.8996,45.77,92,93,17.52,light rain
41,College,US,2022-05-27 23:23:57,64.8569,-147.8028,70.0,26,20,8.05,few clouds
42,Mataura,NZ,2022-05-27 23:22:51,-46.1927,168.8643,51.48,74,88,3.27,overcast clouds
43,Vaini,TO,2022-05-27 23:23:55,-21.2,-175.2,82.56,78,75,10.36,broken clouds
44,Yumen,CN,2022-05-27 23:33:20,40.2833,97.2,69.67,38,82,17.13,broken clouds
45,Longyearbyen,SJ,2022-05-27 23:30:23,78.2186,15.6401,44.44,76,0,3.44,clear sky
