City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bandarbeyla,SO,2022-05-31 02:10:55,9.4942,50.8122,80.08,71,98,25.52
1,Yellowknife,CA,2022-05-31 02:10:56,62.456,-114.3525,55.56,32,11,8.99
2,Barrow,US,2022-05-31 02:10:56,71.2906,-156.7887,30.22,80,100,6.91
3,Ushuaia,AR,2022-05-31 02:10:56,-54.8,-68.3,42.46,81,75,26.46
4,Maryborough,AU,2022-05-31 02:10:57,-25.5333,152.7,71.11,45,74,10.13
5,Zhigansk,RU,2022-05-31 02:10:57,66.7697,123.3711,38.88,66,100,14.2
6,Voyinka,UA,2022-05-31 02:10:57,45.8699,33.9914,60.87,80,28,7.2
7,Kapaa,US,2022-05-31 02:10:57,22.0752,-159.319,82.38,71,0,9.22
8,Yar-Sale,RU,2022-05-31 02:10:58,66.8333,70.8333,42.4,49,15,13.47
9,Avarua,CK,2022-05-31 02:10:58,-21.2078,-159.775,75.25,94,75,8.05
10,Mugur-Aksy,RU,2022-05-31 02:10:59,50.35,90.5,56.61,35,100,3.2
11,Bud,US,2022-05-31 02:10:59,39.447,-86.1758,80.58,70,6,7.36
12,Buala,SB,2022-05-31 02:10:59,-8.145,159.5921,85.75,58,7,6.93
13,Thompson,CA,2022-05-31 02:11:00,55.7435,-97.8558,46.56,87,100,10.36
14,Faya,SA,2022-05-31 02:11:00,18.3851,42.4509,63.12,22,13,2.24
15,Klaksvik,FO,2022-05-31 02:11:00,62.2266,-6.589,45.52,90,59,9.91
16,Kharp,RU,2022-05-31 02:11:01,66.8014,65.8081,46.36,49,14,4.94
17,Puerto Ayora,EC,2022-05-31 02:11:01,-0.7393,-90.3518,71.62,91,100,8.39
18,Saskylakh,RU,2022-05-31 02:11:02,71.9167,114.0833,27.16,91,90,4.79
19,Hithadhoo,MV,2022-05-31 02:11:02,-0.6,73.0833,83.57,69,87,11.77
20,Busselton,AU,2022-05-31 02:11:03,-33.65,115.3333,58.51,67,1,8.01
21,Plettenberg Bay,ZA,2022-05-31 02:11:03,-34.0527,23.3716,54.84,72,55,15.86
22,Atuona,PF,2022-05-31 02:11:03,-9.8,-139.0333,77.97,72,9,12.1
23,East London,ZA,2022-05-31 02:11:04,-33.0153,27.9116,58.17,56,95,17.34
24,Notodden,NO,2022-05-31 02:11:04,59.5594,9.2585,49.51,89,61,5.35
25,Castro,BR,2022-05-31 02:11:05,-24.7911,-50.0119,58.69,97,100,4.74
26,Broome,US,2022-05-31 02:11:05,42.2506,-75.833,75.65,72,100,2.1
27,Nizwa,OM,2022-05-31 02:11:06,22.9333,57.5333,76.41,38,0,2.42
28,Smolenka,RU,2022-05-31 02:11:06,52.1352,113.4974,59.95,29,36,13.42
29,Jamestown,US,2022-05-31 02:11:07,42.097,-79.2353,69.19,49,79,4.99
30,Saldanha,ZA,2022-05-31 02:11:07,-33.0117,17.9442,54.97,81,2,6.96
31,Georgetown,MY,2022-05-31 02:07:44,5.4112,100.3354,85.95,79,20,1.14
32,Mattru,SL,2022-05-31 02:11:08,7.6244,-11.8332,74.17,97,100,0.96
33,Chuy,UY,2022-05-31 02:11:08,-33.6971,-53.4616,40.77,86,11,8.05
34,Victoria,HK,2022-05-31 02:10:05,22.2855,114.1577,87.85,77,100,8.99
35,Talnakh,RU,2022-05-31 02:11:09,69.4865,88.3972,33.21,68,5,6.71
36,Esperance,AU,2022-05-31 02:11:09,-33.8667,121.9,55.24,71,100,10.74
37,Mataura,NZ,2022-05-31 02:11:09,-46.1927,168.8643,65.48,67,4,3.42
38,Bluff,NZ,2022-05-31 02:11:10,-46.6,168.3333,65.8,71,2,10.16
39,Ilhabela,BR,2022-05-31 02:11:10,-23.7781,-45.3581,71.31,95,100,6.76
40,Vaini,TO,2022-05-31 02:11:11,-21.2,-175.2,78.96,83,40,10.36
41,Manjeshwar,IN,2022-05-31 02:11:11,12.7194,74.8861,76.15,79,100,4.97
42,Albany,US,2022-05-31 02:12:07,42.6001,-73.9662,75.61,71,100,4.65
43,Lavrentiya,RU,2022-05-31 02:12:11,65.5833,-171.0,41.52,79,88,5.12
44,Ridgecrest,US,2022-05-31 02:07:36,35.6225,-117.6709,80.46,19,0,18.01
45,Hilo,US,2022-05-31 02:12:12,19.7297,-155.09,84.27,80,100,10.36
46,Avera,US,2022-05-31 02:12:12,33.194,-82.5271,72.55,83,91,5.3
47,Arraial Do Cabo,BR,2022-05-31 02:12:12,-22.9661,-42.0278,73.2,85,100,3.36
48,Praia Da Vitoria,PT,2022-05-31 02:12:13,38.7333,-27.0667,57.76,83,30,17.47
49,Bambous Virieux,MU,2022-05-31 02:12:13,-20.3428,57.7575,73.22,67,75,17.6
50,Dikson,RU,2022-05-31 02:12:14,73.5069,80.5464,30.63,93,81,9.93
51,Butaritari,KI,2022-05-31 02:12:14,3.0707,172.7902,81.57,73,18,13.11
52,Odienne,CI,2022-05-31 02:12:14,9.51,-7.5692,70.43,97,100,4.52
53,Port Lincoln,AU,2022-05-31 02:12:07,-34.7333,135.8667,56.48,52,100,23.35
54,Rikitea,PF,2022-05-31 02:12:15,-23.1203,-134.9692,74.14,78,88,11.74
55,Coahuayana,MX,2022-05-31 02:12:15,18.7333,-103.6833,75.36,77,85,2.82
56,Tiksi,RU,2022-05-31 02:12:15,71.6872,128.8694,30.43,94,100,13.8
57,New Norfolk,AU,2022-05-31 02:12:16,-42.7826,147.0587,49.91,72,100,3.18
58,Muisne,EC,2022-05-31 02:12:16,0.6,-80.0333,75.94,88,100,6.33
59,Leningradskiy,RU,2022-05-31 02:12:16,69.3833,178.4167,40.69,78,100,4.45
60,Terra Santa,BR,2022-05-31 02:12:17,-2.1042,-56.4869,74.12,95,20,2.01
61,Lebu,CL,2022-05-31 02:12:17,-37.6167,-73.65,43.65,78,0,10.87
62,Hobart,AU,2022-05-31 02:12:17,-42.8794,147.3294,50.25,82,0,6.91
63,Shar,KZ,2022-05-31 02:12:18,49.5886,81.0453,68.63,49,100,9.13
64,Santa Isabel Do Rio Negro,BR,2022-05-31 02:12:18,-0.4139,-65.0192,73.22,99,99,2.15
65,Mayor Pablo Lagerenza,PY,2022-05-31 02:12:18,-19.9309,-60.7718,57.51,97,100,7.31
66,Tasiilaq,GL,2022-05-31 02:12:19,65.6145,-37.6368,30.36,92,20,4.07
67,Kaitangata,NZ,2022-05-31 02:12:19,-46.2817,169.8464,62.24,64,5,3.44
68,Tinos,GR,2022-05-31 02:12:19,37.5375,25.1634,69.42,60,0,3.44
69,Vila Velha,BR,2022-05-31 02:08:20,-20.3297,-40.2925,71.55,94,0,2.3
70,Bronnoysund,NO,2022-05-31 02:12:20,65.4625,12.1997,55.4,67,59,9.22
71,Bilibino,RU,2022-05-31 02:12:20,68.0546,166.4372,57.85,43,100,14.47
72,Tuktoyaktuk,CA,2022-05-31 02:12:21,69.4541,-133.0374,33.57,80,100,4.76
73,Provideniya,RU,2022-05-31 02:12:21,64.3833,-173.3,41.36,81,40,7.0
74,Budaun,IN,2022-05-31 02:09:20,28.05,79.1167,96.35,20,0,4.76
75,Cape Town,ZA,2022-05-31 02:09:57,-33.9258,18.4232,58.37,83,24,5.01
76,Wenchi,GH,2022-05-31 02:12:22,7.7392,-2.1046,71.17,97,42,4.34
77,Acapulco,MX,2022-05-31 02:11:41,16.8634,-99.8901,82.22,74,100,11.5
78,Kodinsk,RU,2022-05-31 02:12:22,58.6881,99.1844,51.22,92,100,8.34
79,Kruisfontein,ZA,2022-05-31 02:12:22,-34.0033,24.7314,54.88,81,10,23.49
80,Kavaratti,IN,2022-05-31 02:12:22,10.5669,72.642,82.26,74,100,11.54
81,Bredasdorp,ZA,2022-05-31 02:12:23,-34.5322,20.0403,51.46,82,3,8.23
82,Banda Aceh,ID,2022-05-31 02:12:23,5.5577,95.3222,84.56,66,49,13.51
83,Kholtoson,RU,2022-05-31 02:12:23,50.2981,103.3097,59.5,39,75,10.63
84,Port Alfred,ZA,2022-05-31 02:12:24,-33.5906,26.891,55.18,70,81,3.0
85,Hermanus,ZA,2022-05-31 02:12:24,-34.4187,19.2345,49.8,79,1,10.45
86,Punta Arenas,CL,2022-05-31 02:10:19,-53.15,-70.9167,41.11,75,0,14.97
87,Jacareacanga,BR,2022-05-31 02:12:24,-6.2222,-57.7528,73.38,93,15,1.88
88,Severo-Kurilsk,RU,2022-05-31 02:12:25,50.6789,156.125,44.06,88,79,4.94
89,Port Elizabeth,ZA,2022-05-31 02:12:25,-33.918,25.5701,57.09,85,75,21.85
90,Alyangula,AU,2022-05-31 02:12:25,-13.8483,136.4192,82.33,59,100,4.41
91,Along,IN,2022-05-31 02:13:26,28.1667,94.7667,80.78,78,12,0.67
92,Faanui,PF,2022-05-31 02:13:26,-16.4833,-151.75,80.29,70,93,10.25
93,Green River,US,2022-05-31 02:13:26,41.5286,-109.4662,48.97,68,100,1.99
94,Cabo San Lucas,MX,2022-05-31 02:13:27,22.8909,-109.9124,83.5,55,0,13.8
95,Poum,NC,2022-05-31 02:13:27,-20.2333,164.0167,77.86,84,99,12.21
96,San Policarpo,PH,2022-05-31 02:13:27,12.1791,125.5072,79.27,88,100,6.33
97,Rawson,AR,2022-05-31 02:13:28,-43.3002,-65.1023,40.89,61,29,12.03
98,Prince Rupert,CA,2022-05-31 02:10:08,54.3161,-130.3201,51.89,87,40,5.75
99,Maumere,ID,2022-05-31 02:13:28,-8.6199,122.2111,85.01,68,94,2.8
100,Fortuna,US,2022-05-31 02:13:28,40.5982,-124.1573,56.66,75,40,14.97
101,Marsala,IT,2022-05-31 02:13:29,37.7966,12.4352,74.93,74,37,13.06
102,Zyryanka,RU,2022-05-31 02:12:16,65.75,150.85,56.57,62,100,5.41
103,Tefe,BR,2022-05-31 02:13:29,-3.3542,-64.7114,73.24,98,50,0.98
104,Evensk,RU,2022-05-31 02:13:29,61.95,159.2333,47.17,64,99,8.03
105,Goundam,ML,2022-05-31 02:13:30,16.4145,-3.6708,91.6,34,54,8.86
106,Vryheid,ZA,2022-05-31 02:13:30,-27.7695,30.7917,40.51,93,0,4.56
107,Prince Albert,CA,2022-05-31 02:13:30,53.2001,-105.7677,48.87,75,78,19.62
108,Lisakovsk,KZ,2022-05-31 02:13:30,52.5369,62.4936,55.72,64,0,13.44
109,Irbil,IQ,2022-05-31 02:13:31,36.1926,44.0106,78.53,23,0,4.99
110,Saint George,US,2022-05-31 02:11:34,37.1041,-113.5841,77.63,12,0,6.91
111,Kudinovo,RU,2022-05-31 02:13:31,54.9994,36.2533,53.87,97,100,11.3
112,Okhotsk,RU,2022-05-31 02:13:31,59.3833,143.3,40.1,74,100,4.99
113,Havelock,US,2022-05-31 02:13:32,34.8791,-76.9013,78.94,89,55,5.3
114,Port Blair,IN,2022-05-31 02:13:00,11.6667,92.75,83.23,81,88,15.21
115,Zalesovo,RU,2022-05-31 02:13:32,53.9939,84.7431,63.97,57,70,5.01
116,Batagay,RU,2022-05-31 02:13:32,67.6333,134.6333,48.15,79,100,2.55
117,Hoi An,VN,2022-05-31 02:13:33,15.8794,108.335,89.56,69,59,2.84
118,Ponta Grossa,BR,2022-05-31 02:13:33,-25.095,-50.1619,57.24,97,100,7.2
119,Lugovoy,KZ,2022-05-31 02:13:33,42.9472,72.7644,59.77,65,30,0.72
120,Nome,US,2022-05-31 02:11:41,64.5011,-165.4064,57.16,71,20,10.36
121,Coquimbo,CL,2022-05-31 02:13:34,-29.9533,-71.3436,51.53,81,75,5.75
122,Salihorsk,BY,2022-05-31 02:13:34,52.7876,27.5415,44.1,96,97,6.51
123,Naze,JP,2022-05-31 02:10:54,28.3667,129.4833,72.63,82,100,7.05
124,Nikolskoye,RU,2022-05-31 02:13:34,59.7035,30.7861,57.09,73,81,8.79
125,Broken Hill,AU,2022-05-31 02:13:35,-31.95,141.4333,54.43,64,45,24.54
126,Lata,PT,2022-05-31 02:13:35,40.1629,-8.3327,63.07,86,67,3.78
127,Westfield,US,2022-05-31 02:13:19,42.1251,-72.7495,76.64,76,0,9.22
128,Eresos,GR,2022-05-31 02:13:35,39.1667,25.9333,61.9,70,35,5.12
129,Bubaque,GW,2022-05-31 02:13:36,11.2833,-15.8333,79.97,74,100,6.58
130,Sur,OM,2022-05-31 02:13:36,22.5667,59.5289,86.27,49,0,11.72
131,Balikpapan,ID,2022-05-31 02:13:36,-1.2675,116.8289,86.99,62,20,3.44
132,Qaanaaq,GL,2022-05-31 02:13:36,77.484,-69.3632,20.37,85,98,4.61
